Step,Row,Column,Heading,Left Wall,Front Wall,Right Wall
195,2,6,E,N,N,Y,
196,2,7,E,Y,N,N,
197,2,7,S,N,N,N,
198,3,7,S,N,Y,N,
199,3,7,W,Y,N,N,
200,3,6,W,N,Y,Y,
201,3,6,S,N,N,Y,
202,4,6,S,Y,Y,N,
203,4,6,W,Y,N,N,
204,4,5,W,Y,N,Y,
205,4,4,W,Y,Y,N,
206,4,4,N,Y,N,N,
207,3,4,N,N,Y,N,
208,3,4,W,N,N,Y,
209,3,3,W,N,N,N,
210,3,3,N,N,N,N,
211,2,3,N,Y,N,Y,
212,1,3,N,Y,N,N,
213,0,3,N,N,Y,Y,
214,0,3,W,N,N,Y,
215,0,2,W,N,N,Y,
216,0,2,S,N,N,N,
217,1,2,S,Y,N,N,
218,1,2,W,N,N,N,
219,1,1,W,N,N,Y,
220,1,0,W,Y,Y,N,
221,1,0,N,Y,N,N,
222,0,0,N,Y,Y,N,
223,0,0,E,Y,N,N,
224,0,0,S,N,N,Y,
225,1,0,S,N,Y,Y,
226,1,0,E,N,N,Y,
227,1,1,E,Y,N,N,
228,1,1,S,N,N,N,
229,2,1,S,Y,N,N,
230,2,1,W,N,N,N,
231,2,0,W,N,Y,Y,
232,2,0,S,N,N,Y,
233,3,0,S,Y,N,Y,
234,4,0,S,Y,Y,Y,
235,4,0,W,Y,Y,N,
236,4,0,N,Y,N,Y,
237,3,0,N,Y,N,Y,
238,2,0,N,Y,Y,N,
239,2,0,E,Y,N,N,
240,2,1,E,N,Y,N,
241,2,1,S,Y,N,N,
242,3,1,S,N,N,Y,
243,4,1,S,N,Y,Y,
244,4,1,E,N,N,Y,
245,4,2,E,Y,N,Y,
246,4,3,E,N,Y,Y,
247,4,3,N,N,N,Y,
248,3,3,N,N,N,N,
249,3,3,W,N,N,N,
250,3,2,W,Y,N,Y,
251,3,1,W,N,Y,N,
252,3,1,S,N,N,Y,
253,4,1,S,N,Y,Y,
254,4,1,E,N,N,Y,
255,4,2,E,Y,N,Y,
256,4,3,E,N,Y,Y,
257,4,3,N,N,N,Y,
258,3,3,N,N,N,N,
259,3,3,W,N,N,N,
260,3,2,W,Y,N,Y,
261,3,1,W,N,Y,N,
262,3,1,N,Y,N,N,
263,2,1,N,N,N,Y,
264,1,1,N,N,Y,N,
265,1,1,E,Y,N,N,
266,1,2,E,N,Y,N,
267,1,2,N,N,N,Y,
268,0,2,N,N,Y,N,
269,0,2,E,Y,N,N,
270,0,3,E,Y,Y,N,
271,0,3,S,Y,N,N,
272,1,3,S,N,N,Y,
273,1,3,E,N,N,N,
274,1,4,E,N,N,Y,
275,1,4,N,N,N,N,
276,0,4,N,Y,Y,N,
277,0,4,E,Y,N,N,
278,0,5,E,Y,N,N,
279,0,6,E,Y,N,Y,
280,0,7,E,Y,N,N,
281,0,8,E,Y,Y,N,
282,0,8,S,Y,N,N,
283,1,8,S,Y,N,N,
284,1,8,W,N,N,N,
285,1,7,W,Y,Y,N,
286,1,7,N,Y,N,N,
287,0,7,N,N,Y,N,
288,0,7,E,Y,N,N,
289,0,8,E,Y,Y,N,
290,0,8,S,Y,N,N,
291,1,8,S,Y,N,N,
292,2,8,S,Y,N,N,
293,3,8,S,Y,N,N,
294,4,8,S,Y,Y,N,
295,4,8,W,Y,N,N,
296,4,7,W,Y,Y,Y,
297,4,7,N,Y,Y,N,
298,4,7,E,Y,N,Y,
299,4,8,E,N,Y,Y,
300,4,8,N,N,N,Y,
301,3,8,N,N,N,Y,
302,3,8,W,N,N,N,
303,3,7,W,Y,N,N,
304,3,6,W,N,Y,Y,
305,3,6,S,N,N,Y,
306,4,6,S,Y,Y,N,
307,4,6,W,Y,N,N,
308,4,5,W,Y,N,Y,
309,4,4,W,Y,Y,N,
310,4,4,N,Y,N,N,
311,3,4,N,N,Y,N,
312,3,4,W,N,N,Y,
313,3,3,W,N,N,N,
314,3,2,W,Y,N,Y,
315,3,1,W,N,Y,N,
316,3,1,N,Y,N,N,
317,2,1,N,N,N,Y,
318,1,1,N,N,Y,N,
319,1,1,W,N,N,Y,
320,1,0,W,Y,Y,N,
321,1,0,N,Y,N,N,
322,0,0,N,Y,Y,N,
323,0,0,E,Y,N,N,
324,0,0,S,N,N,Y,
325,1,0,S,N,Y,Y,
326,1,0,E,N,N,Y,
327,1,1,E,Y,N,N,
328,1,2,E,N,Y,N,
329,1,2,N,N,N,Y,
330,0,2,N,N,Y,N,
331,0,2,E,Y,N,N,
332,0,3,E,Y,Y,N,
333,0,3,S,Y,N,N,
334,1,3,S,N,N,Y,
335,2,3,S,Y,N,Y,
336,3,3,S,N,N,N,
337,3,3,E,N,N,N,
338,3,4,E,Y,N,N,
339,3,4,S,N,N,N,
340,4,4,S,N,Y,Y,
341,4,4,E,N,N,Y,
342,4,5,E,Y,N,Y,
343,4,6,E,Y,N,Y,
